BSSID,rssi1,rssi2,rssi3,rssi4
68:86:a7:57:0d:71,0,0,0,-65
68:86:a7:57:0d:71,0,0,0,-63
68:86:a7:57:ab:2e,0,0,0,-84
68:86:a7:57:ab:2e,0,0,0,-82
68:86:a7:57:ab:2e,0,0,0,-85
68:86:a7:57:ab:2e,0,0,0,-80
74:a0:2f:f0:07:ae,0,0,0,-77
74:a0:2f:f0:07:ae,0,0,0,-78
74:a0:2f:f0:07:ae,0,0,0,-78
74:a0:2f:f0:07:ae,0,0,0,-78
74:a0:2f:f0:07:ae,0,0,0,-78
74:a0:2f:f0:07:ae,0,0,0,-82
74:a0:2f:f0:07:ae,0,0,0,-84
74:a0:2f:f0:07:ae,0,0,0,-85
a4:00:e2:95:d1:a0,0,0,0,-31
a4:00:e2:95:d1:a0,0,0,0,-33
a4:00:e2:95:d1:a0,0,0,0,-34
a4:00:e2:95:d1:a0,0,0,0,-35
a4:00:e2:95:d1:a0,0,0,0,-64
a4:00:e2:95:d1:a0,0,0,0,-76
a4:00:e2:95:d4:50,0,0,0,-78
a4:00:e2:95:d6:40,0,0,0,-63
a4:00:e2:95:d6:50,0,0,0,-62
a4:00:e2:95:d6:50,0,0,0,-63
cc:d5:39:89:6a:71,0,0,0,-40
cc:d5:39:89:6a:71,0,0,0,-42
cc:d5:39:89:6a:71,0,0,0,-44
cc:d5:39:89:6a:71,0,0,0,-46
d0:c6:5b:75:38:a0,0,0,0,-59
d0:c6:5b:75:38:a0,0,0,0,-56
d0:c6:5b:75:38:a0,0,0,0,-55
d0:c6:5b:75:38:b0,0,0,0,-79
d0:c6:5b:75:38:b0,0,0,0,-78
d0:c6:5b:75:38:b0,0,0,0,-77
f4:79:60:26:aa:e0,0,0,0,-76
f4:79:60:26:aa:e0,0,0,0,-74
f4:79:60:26:aa:e0,0,0,0,-78
f4:79:60:26:aa:f0,0,0,0,-70
